landmark_id,x,y,visibility
0,0.0,0.0,0.0
1,0.0,0.0,0.0
2,0.0,0.0,0.0
3,0.0,0.0,0.0
4,0.0,0.0,0.0
5,0.0,0.0,0.0
6,0.0,0.0,0.0
7,0.0,0.0,0.0
8,0.0,0.0,0.0
9,0.0,0.0,0.0
10,0.0,0.0,0.0
11,66.88151550292969,54.72428512573242,0.5943965315818787
12,54.24477767944336,53.90024948120117,0.4434731900691986
13,66.39603424072266,88.12893676757812,0.79800945520401
14,52.177268981933594,86.78907775878906,0.5072119832038879
15,63.165130615234375,114.9421615600586,0.7036011815071106
16,51.06663513183594,113.55001068115234,0.5569558143615723
