landmark_id,x,y,visibility
0,62.099823,11.8011265,0.63044995
1,64.60004,9.252385,0.64972115
2,59.684563,9.115639,0.6081143
3,68.72358,11.274319,0.7633425
4,56.315792,11.123175,0.6771255
5,74.119,27.16725,0.9447703
6,49.385895,26.185314,0.99660045
7,79.78669,43.758022,0.91820765
8,43.492233,41.131973,0.78245604
9,75.5067,41.698086,0.66624755
10,47.96014,42.74341,0.49181998
11,67.73327,65.14967,0.9189518
12,51.092167,64.022514,0.9570753
13,67.33616,93.04847,0.8929398
14,50.559547,92.74174,0.89918274
15,65.985825,115.59947,0.862788
16,52.964127,116.048294,0.85791606
