,h1,h2,h3,h4,h5,h6,h7,Identity,View
016z050pf.jpg,0.44395200104382904,1.0103614814273028,2.6042440930195347,2.906157360737849,5.661343151799682,3.4113385084308,7.979766577570623,50,f
016z050ps.jpg,0.26304192103588453,0.5714939999926509,2.2609302906726256,2.3669196957548153,4.680968113617361,2.659500396660855,-6.299895425256662,50,s
016z051pf.jpg,0.471558830269518,1.0748729779216641,2.8391658789276053,3.173082325761359,6.180885731554582,3.72073957550343,-7.226817228389275,51,f
016z051ps.jpg,0.3187743780055836,0.6981586985148708,3.1666878303430726,4.07406750294996,-8.005828818045499,-4.595260318073968,-7.749757277917301,51,s
016z052pf.jpg,0.44285166523741804,1.026415160679756,2.707189888857353,2.6893303900834904,5.387603936919311,3.2038299163471184,7.3651686544423,52,f
016z052ps.jpg,0.26960000283071706,0.5870942092766889,2.8477620957561625,3.18755900389225,6.222899508534024,3.6114000662824925,-6.757535419257701,52,s
017z053pf.jpg,0.44897382747031084,1.03480674212224,2.676510375748401,2.7601172672700267,5.478543920457949,3.2781083396245223,7.096392295394529,53,f
017z053ps.jpg,0.2465827187230306,0.5355625524747785,2.722106058363661,2.9187347554587415,5.741192071606232,3.241945628099444,6.75130151233903,53,s
017z054pf.jpg,0.4599098371130534,1.0458689397490497,2.9945824297701273,3.1735203689189024,6.2575016343890075,3.696542326703778,8.453125642904348,54,f
017z054ps.jpg,0.29337586841498514,0.6382976462299532,2.491979487146621,2.5605918332292785,5.0868846352902795,2.881882131038334,-7.207564192736209,54,s
017z055pf.jpg,0.4014713636401367,0.928800644589415,2.472977491599474,2.4419442376506537,4.899412280934687,2.906660701022341,7.054657077882765,55,f
017z055ps.jpg,0.2065862806915585,0.4486813439854992,2.1997397241531256,2.214836335166043,4.422133797624255,2.4393941631495513,-6.578374363190088,55,s
017z056pf.jpg,0.4084943699647709,0.9269632128582326,2.740120506154587,2.759796456288205,5.509755156189728,3.223462537512617,7.600032137534404,56,f
017z056ps.jpg,0.21849615664344468,0.47866561123950585,3.0314947443989775,3.5206697790095696,6.840935703029708,3.900943601311286,-7.162255691294791,56,s
018z057pf.jpg,0.4001748741178684,0.9010980059659732,2.550880990870448,2.6633126357073422,5.2704261293679275,3.1177539377355017,7.2413624590633585,57,f
018z057ps.jpg,0.1879874393762179,0.41431048275235555,1.9991869281779093,2.036152866077776,4.053880054790622,2.2457755834348454,-5.841332468756871,57,s
018z058pf.jpg,0.4359885308875619,1.0065816817275852,3.2889708516133767,3.1359236364928758,6.348664101790857,3.639620481383431,7.7191144104136376,58,f
018z058ps.jpg,0.1991374994140002,0.4351868842510714,2.9345082382251544,3.235406338643038,6.333053952898495,3.558761907241504,-6.941393307008378,58,s
018z059pf.jpg,0.4296830926296046,1.0157841918651007,2.5838502458534065,2.4957536840438466,5.035658691755327,3.00407347075188,6.687609518470488,59,f
018z059ps.jpg,0.2564269054094272,0.5603801524390034,2.835359553932585,2.8451160963884607,5.685509160401494,3.125739547105144,-7.230039984399478,59,s
018z060pf.jpg,0.4244422059474515,0.9997200158249089,2.1749155975197976,2.310349857664318,4.553140176516636,2.8105268951956295,-6.12051030357992,60,f
018z060ps.jpg,0.26270851499781894,0.5769498663472743,1.8875729139269497,1.9213330200383716,3.825818119383037,2.2099094698924997,-5.738775472025893,60,s
018z061pf.jpg,0.4337082062244838,1.0091413298991811,2.5386418833732107,2.56345780580387,5.114702675340362,3.0685990203930977,6.63158030637553,61,f
018z061ps.jpg,0.23493339127260615,0.5153098555000952,1.9265213490855377,2.087388241729728,4.095255131053833,2.3685043931807246,-5.28302186245878,61,s
018z062pf.jpg,0.42872935151624497,0.9958681152821879,2.481367736635091,2.525115292179066,5.028369814076321,3.0231600755520955,7.0732842876465245,62,f
018z062ps.jpg,0.2416696877162889,0.5308002904010773,2.345544295501478,2.4153829690697415,4.795889738923655,2.6864627524136035,-6.633483964861107,62,s
019z063pf.jpg,0.4173011713828565,0.9569988820329957,2.5037674305792486,2.550215486860935,5.077354953000328,3.032144565300732,6.652882692773444,63,f
