landmark_id,x,y,visibility
0,1119.1149997711182,654.3002557754517,0.9976783394813538
1,1132.5483512878418,629.9068236351013,0.9971446394920349
2,1135.7340049743652,629.7615766525269,0.9966986775398254
3,1139.6166038513184,629.3701958656311,0.9980161190032959
4,1132.1356582641602,629.091067314148,0.9976145029067993
5,1134.7243690490723,628.5969471931458,0.9976000189781189
6,1138.233528137207,627.672643661499,0.9985217452049255
7,1171.113052368164,635.4521441459656,0.9985923171043396
8,1170.2570915222168,634.4348645210266,0.996536374092102
9,1133.7714767456055,677.9640984535217,0.9980459213256836
10,1132.2861289978027,677.1032309532166,0.9972214698791504
11,1232.0665168762207,752.5814437866211,0.9999727010726929
12,1215.664405822754,766.9712591171265,0.999581515789032
13,1218.394374847412,957.169303894043,0.9518709182739258
14,1206.5115928649902,956.9869565963745,0.003919439390301704
15,1180.055980682373,1120.9454154968262,0.6533307433128357
16,1165.9373664855957,1110.1022100448608,0.007241106126457453
17,1180.505256652832,1168.5371589660645,0.49555087089538574
18,1169.6075439453125,1157.0563888549805,0.009454876184463501
19,1163.2721519470215,1171.734094619751,0.4848884046077728
20,1156.4399528503418,1158.800253868103,0.009987308643758297
21,1161.3552856445312,1158.5819578170776,0.34005817770957947
22,1154.240837097168,1142.525782585144,0.009570294991135597
23,1218.2085227966309,1095.0248622894287,0.9999511241912842
24,1207.563419342041,1087.717752456665,0.9999150037765503
25,1223.8685989379883,1366.9185018539429,0.5466906428337097
26,1213.6110877990723,1361.4038228988647,0.029949987307190895
27,1232.237548828125,1610.0207948684692,0.7664235234260559
28,1229.4589805603027,1590.1367282867432,0.11957746744155884
29,1255.4010963439941,1646.1595058441162,0.46297428011894226
30,1251.4039421081543,1631.0922718048096,0.1804024577140808
31,1117.2619533538818,1651.3234090805054,0.7284789085388184
32,1128.5955238342285,1633.2528018951416,0.24074988067150116
