landmark_id,x,y,visibility
0,1112.170181274414,513.3072423934937,0.9987421631813049
1,1126.8147087097168,491.7512583732605,0.9972630739212036
2,1137.1120071411133,493.9024257659912,0.9969189167022705
3,1147.433204650879,495.628867149353,0.997665524482727
4,1099.6560096740723,488.35890769958496,0.998051643371582
5,1091.6014194488525,488.32130670547485,0.9984164237976074
6,1083.6936283111572,487.69896268844604,0.9987356066703796
7,1158.1218338012695,505.10596990585327,0.9984816908836365
8,1069.0849494934082,494.3904376029968,0.9971786737442017
9,1127.6856231689453,538.3791446685791,0.9992357492446899
10,1097.9679870605469,535.382981300354,0.9992258548736572
11,1236.8817138671875,665.6564569473267,0.9997661709785461
12,980.7637691497803,660.6348466873169,0.9997249245643616
13,1286.8556213378906,851.1591339111328,0.91889488697052
14,905.8379554748535,833.880500793457,0.9476594924926758
15,1273.36332321167,818.433051109314,0.9690864682197571
16,955.7151317596436,806.7215180397034,0.98699551820755
17,1276.7863655090332,811.8814158439636,0.9714949131011963
18,964.3662643432617,803.2498598098755,0.9886371493339539
19,1270.8688735961914,782.987630367279,0.9741783738136292
20,982.0196723937988,777.540693283081,0.9895373582839966
21,1263.4450721740723,784.9984574317932,0.9553618431091309
22,985.5352401733398,778.7851810455322,0.9789035320281982
23,1188.196086883545,1039.9401569366455,0.9998970031738281
24,1042.2044944763184,1046.231188774109,0.9998984336853027
25,1184.3456649780273,1328.5906219482422,0.9592553973197937
26,1044.815034866333,1332.3645401000977,0.9550359845161438
27,1190.8622360229492,1585.7678031921387,0.975936233997345
28,1042.1205139160156,1578.926124572754,0.9732730984687805
29,1174.8802947998047,1625.1196718215942,0.8329319357872009
30,1057.0229244232178,1620.0028324127197,0.8133795857429504
31,1221.830234527588,1680.851354598999,0.9650638103485107
32,1005.1201343536377,1662.397928237915,0.9477702379226685
